type,vcpu,ram_gb
cax11,2,4
cax21,4,8
cax31,8,16
cax41,16,32
ccx13,2,8
ccx23,4,16
ccx33,8,32
ccx43,16,64
ccx53,32,128
ccx63,48,192
cpx11,2,2
cpx12,1,2
cpx21,3,4
cpx22,2,4
cpx31,4,8
cpx32,4,8
cpx41,8,16
cpx42,8,16
cpx51,16,32
cpx52,12,24
cpx62,16,32
cx22,2,4
cx23,2,4
cx32,4,8
cx33,4,8
cx42,8,16
cx43,8,16
cx53,16,32
